full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"  207P/NEAT",.7570315839242892,.9437427131078613,10.15004607850937,200.6727364464514,271.2037940066632,6.824696727298942,20081106.3838741,7.65532945104502,JFc,3149,0,143,,,,,,16.5,9.75,,,,,,,,
"  208P/McMillan",.374392024946453,2.527703619879194,4.41401381118131,36.39911634669623,310.6453893603847,5.553087292873613,20080513.6183586,8.1216452045322,JFc,5944,0,220,,,,,,16.1,4.5,,,,,,,,
"  209P/LINEAR",.6920214030579277,.9028410006727384,20.61912261051878,63.60831886306269,152.1306592817882,4.960170323082034,20140423.2245183,5.0193133407124,JFc,5743,0,2794,,,,,,18.1,4.5,,,,,,,,
"  210P/Christensen",.8316968546788585,.5344475894481606,10.21716796464001,93.87242215745439,345.7660241014084,5.816563717302808,20081219.9808963,5.65884160173585,JFc,6256,0,717,,-2.056872096274048E-10,5.655305030596723E-11,-1.14644177081141E-10,,14.9,10.,17.8,5.,0.03,,,,,
"  211P/Hill",.338349337441299,2.357074809903078,18.87857565547379,117.2672535239955,4.262574849958032,4.767756897475317,20090507.8011435,6.72396005156764,JFc,2733,1,660,,,,,,14.1,7.,,,,,,,,
"  212P/NEAT",.5788843630113104,1.654455839157313,22.39744798631526,98.92840178716503,15.04690736549059,6.203033619025636,20081203.2657132,7.78733610251188,JFc,5963,0,124,,,,,,18.0,4.5,,,,1.7,,0.096,,
"  213P/Van Ness",.4074580950997326,1.983346037750145,10.37780533630779,311.3167687277543,5.554605392988465,4.711019445426841,20170924.3687245,6.12388938720299,JFc,597,4,353,,-2.602317031597013E-9,-7.229276065110103E-10,1.924544451509525E-8,,11.3,14.,14.7,5.,0.03,,,,,
"  213P/Van Ness-B",.3797273022751771,2.122728532462212,10.24005100770656,312.6706695170379,3.341503759615148,4.721772411230579,20110616.4297495,6.33105214171125,JFc,77,5,115,,,,,,7.3,37.,18.2,5.,0.03,,,,,
"  214P/LINEAR",.4895516925973101,1.839837235517338,15.22603925329975,348.3074277177954,190.1589670513864,5.368874043706867,20020301.0463661,6.8430491018652,JFc,2665,1,131,,,,,,12.1,22.75,17.4,5.,0.03,,,,,
"  215P/NEAT",.215099977347097,3.353538850479003,10.74512225761987,70.22456455182571,245.8017023592075,5.191597482029421,20101012.1798652,8.83164701563801,JFc,9652,0,791,,,-1.334729453154955E-8,,,9.4,11.25,13.5,5.,0.03,,,,,
"  216P/LINEAR",.445349107334237,2.153943609389469,9.043239055054107,359.9111017041794,151.646932679744,5.612900861146533,20010212.9615068,7.65297195186346,JFc,5564,1,182,,,,,,4.9,38.,16.8,5.,0.03,,,,,
"  217P/LINEAR",.6896140111994894,1.224240691073283,12.88033434700374,125.6208629706365,246.7646805888779,6.664264172205965,20090908.9856956,7.83348931154811,JFc,6117,0,3272,,1.600286446663552E-9,-1.220539524128858E-10,2.746143125238606E-12,22.1008722396352,14.0,6.5,,,,,,,,
"  218P/LINEAR",.4910536511031661,1.700962101651553,18.17171418419027,226.6187112291633,10.77751806250413,4.983287054820329,20090622.5752725,6.11001327259394,JFc,4522,0,707,,2.423890710812163E-9,,,,15.5,13.5,18.3,5.,0.03,,,,,
"  219P/LINEAR",.3529673440430335,2.363985710625861,11.52575153750193,231.0267545153982,107.7099309944655,4.943174720494905,20100305.4750051,6.98370960854603,JFc,5707,1,752,,-2.575754217321537E-9,-9.904000585048552E-10,-1.426721940760702E-9,,11.9,11.,14.9,5.,0.03,,,,,
"  220P/McNaught",.5022047918712533,1.549665441869026,8.131745402985386,150.1221670230096,180.7544334149151,4.676450907038174,20091215.2574435,5.49274018919369,JFc,6042,0,476,,1.776838203901577E-10,-1.343490894567006E-11,,,15.7,10.5,17.8,5.,0.03,,,,,
"  221P/LINEAR",.4874465569833638,1.780672980869152,11.42914713730555,229.9861825770439,39.55042917974559,5.167570193106974,20090124.4846506,6.47553601189362,JFc,6930,0,604,,,-4.963014460141671E-11,,,13.7,14.25,16.4,5.,0.03,,,,,
"  222P/LINEAR",.7268241441104772,.7805866264824591,5.146523755949469,7.132797132343198,345.4267483330132,4.934315402034603,20090901.1700003,4.8303254527668,JFc,5283,0,239,,8.96284537690192E-11,-4.370495715662282E-12,,,19.3,11.,,,,,,,,
"  223P/Skiff",.4164498479565223,2.42033875049744,27.05464660845126,346.8234839396711,37.85605252446513,5.874882292704726,20100814.5094840,8.44705172453122,JFc,7175,0,762,,-3.953640961953417E-9,-6.197741540717728E-12,6.263747958327347E-10,,15.4,4.5,,,,,,,,
"  224P/LINEAR-NEAT",.4369574066912527,1.881914697784143,14.73061938425923,43.51389700555364,9.292237809958742,4.802889330007003,20030917.1128458,6.1107740928603,JFc,2183,2,95,,,,,,13.1,20.75,18.1,5.,0.03,,,,,
"  225P/LINEAR",.6375279752197517,1.32451381966037,21.33499395312778,14.18217273040393,3.920316763471809,5.983712631544341,20160816.9453514,6.98523791347873,JFc,5175,1,475,,3.058275791988745E-10,-1.829563570078335E-11,,,19.0,7.,,,,,,,,
"  226P/Pigott-LINEAR-Kowalski",.5288240922535099,1.776352983933021,44.00425137528314,54.00682436197214,341.121463702107,5.763731110896225,20160905.1330769,7.32027663003077,JFc,5184,1,1174,,1.146683805758269E-9,4.28672716816746E-10,,,11.9,15.,15.6,5.,0.03,,,,,
"  227P/Catalina-LINEAR",.4996238828398967,1.795464562601004,6.524194071899128,49.88919011587622,90.1306833860792,5.380995308390466,20100903.8280176,6.79717732339811,JFc,7793,0,170,,,,,,17.2,4.75,,,,,,,,
"  228P/LINEAR",.1769071174898956,3.430445170742139,7.915353356816836,31.0664630373914,114.8108507020502,4.90505436676,20110823.9522371,8.50864993914182,JFc,7093,0,430,,,-1.014945286244183E-10,,,9.5,14.25,14.4,5.,0.03,,,,,
"  229P/Gibbs",.3771360756770613,2.447925802674128,26.08160313132159,157.9639216948796,224.2648072492605,5.412300828158781,20090804.1339171,7.79140555873717,JFc,6017,0,235,,,,,,14.1,8.,,,,,,,,
"  230P/LINEAR",.5634634373508314,1.484538152398867,14.6521555400766,112.4028594666749,308.8921316989288,5.316899708337421,20151117.7492081,6.27139724227785,JFc,8230,0,1297,,,,,,15.5,5.,,,,,,,,
"  231P/LINEAR-NEAT",.2468162496557143,3.032391242858692,12.3256201987251,133.0822921521418,42.43114299128844,5.019803832971247,20110516.4567302,8.07857275179331,JFc,25635,0,573,,1.580373517156238E-7,-7.721211155899908E-9,,,7.2,20.,14.8,5.,0.03,,,,,
"  232P/Hill",.3349223607888394,2.982860625724505,14.63507613337558,56.12913606121955,53.41737225804615,5.987101525649085,20091001.4522984,9.49837090731368,JFc,7058,0,297,,,,,,7.2,19.75,14.6,5.,0.03,,,,,
"  233P/La Sagra",.4106214981379409,1.787924901421889,11.27919171751623,74.98285988107651,27.15139426768903,4.279228534861213,20150625.3144493,5.28373072010562,ETc,5911,1,113,,,,,,18.8,4.5,,,,,,,,
"  234P/LINEAR",.2511894100025017,2.860485834426487,11.51338519599592,179.7365748152708,358.4404768810719,4.779592638384758,20091223.9788039,7.46637739143589,JFc,6018,0,261,,,,,,7.4,22.5,15.3,5.,0.03,,,,,
"  235P/LINEAR",.3134046660800669,2.747602088735582,8.892611801161452,204.4866661242519,333.7350597385954,5.255953872091824,20100321.7179861,8.00548572738138,JFc,6003,1,268,,,,,,7.3,22.75,15.4,5.,0.03,,,,,
"  236P/LINEAR",.5086500132289806,1.831787475158708,16.3340718067403,245.6614983680442,119.3353487381324,5.624353867986841,20100908.7236104,7.19837399741754,JFc,5224,0,844,,,,,,15.0,10.75,17.3,5.,0.03,,,,,
"  237P/LINEAR",.4388317299018235,1.972636177760947,15.18909549738499,249.3891946430228,20.81976266682712,5.057826101996366,20161004.8463250,6.59081365006664,JFc,5669,0,516,,,,,,4.7,28.5,12.4,5.,0.03,,,,,
"  238P/Read",.2531969888951213,2.361379880723327,1.266167215096398,51.62720266047121,325.6244378511225,3.962590016585248,20110312.3541782,5.62273867802809,ETc,4407,1,214,,2.436992850134412E-9,-5.277191806895388E-11,,,10.1,24.,17.6,5.,0.03,,,,,
"  239P/LINEAR",.6314365435372322,1.647599354357973,11.30561994608353,255.9445177244924,220.383717671868,7.293055642589144,20190109.9706350,9.45185855012302,JFc,7096,0,365,,,,,,15.3,13.25,18.0,5.,0.03,,,,,
"  240P/NEAT",.4497940361253981,2.128389086455885,23.52461400788739,74.95183490685812,352.1522281845853,5.608310354122946,20101004.7625589,7.60846061756002,JFc,6437,0,2615,,1.132641089616491E-8,7.101310308801959E-10,,,12.4,5.5,,,,,,,,
"  241P/LINEAR",.6143945500659512,1.908243331904424,20.95182634005427,306.001793375236,110.4138821731728,7.989144437022579,20100717.3856955,11.0089040721664,JFc,7660,1,486,,-3.692018533523527E-9,3.91955063455722E-10,,,13.7,9.25,,,,,,,,
