,id,ra,dec,mag,name_bayer,name_bayer_full,name_english,name_flamsteed_full
5699,136512,230.03333333333333,29.616111111111113,5.51,ο,ο-CrB,-,1-CrB
5700,136514,230.25833333333333,0.7152777777777777,5.35,-,-,-,6-Ser
5701,136643,230.27499999999998,24.95777777777778,6.39,-,-,-,-
5702,136664,230.7875,-36.85861111111111,4.54,φ²,φ²-Lup,-,-
5703,136672,231.55833333333334,-68.30916666666667,5.89,-,-,-,-
5704,136726,229.27083333333334,71.82388888888889,5.02,-,-,-,11-UMi
5705,136729,230.02083333333334,51.95861111111111,5.66,-,-,-,-
5706,136751,230.17083333333332,44.43416666666666,6.19,-,-,-,-
5707,136831,230.59583333333333,12.567499999999999,6.28,-,-,-,7-Ser
5708,136849,230.45000000000002,32.93388888888889,5.37,-,-,-,50-Boo
5709,136933,231.18333333333337,-39.71027777777778,5.37,υ,υ-Lup,-,-
5710,136956,230.96666666666667,-12.369444444444445,5.72,-,-,-,-
5711,137006,230.92916666666667,-1.0225,6.12,-,-,-,8-Ser
5712,137015,231.27499999999998,-38.169444444444444,7.03,-,-,-,-
5713,137052,231.04583333333332,-10.322222222222223,4.94,ε,ε-Lib,-,31-Lib
5714,137058,231.33333333333334,-38.73361111111111,4.6,-,-,-,-
5715,137066,231.8875,-64.53138888888888,5.71,-,-,-,-
5716,137071,230.6541666666667,39.581388888888895,5.5,-,-,-,-
5717,137107,230.79999999999998,30.28777777777778,5.58,η,η-CrB,-,2-CrB
5718,137108,230.79999999999998,30.28777777777778,6.08,η,η-CrB,-,2-CrB
5719,137333,235.81666666666666,-84.46527777777779,5.57,ρ,ρ-Oct,-,-
5720,137387,232.875,-73.38944444444445,5.49,κ¹,κ¹-Aps,-,-
5721,137389,230.6541666666667,62.04722222222222,5.98,-,-,-,-
5722,137390,231.02083333333331,45.27111111111111,6.01,-,-,-,-
5723,137391,231.12083333333334,37.37722222222222,4.31,μ¹,μ¹-Boo,-,51-Boo
5724,137392,231.125,37.34777777777778,6.5,μ²,μ²-Boo,-,51-Boo
5725,137422,230.17916666666667,71.83388888888888,3.05,γ,γ-UMi,-,13-UMi
5726,137432,231.825,-36.76777777777777,5.45,-,-,-,-
5727,137443,230.65833333333336,63.34138888888889,5.79,-,-,-,-
5728,137465,232.11249999999998,-51.597500000000004,6.1,-,-,-,-
5729,137471,231.44583333333333,15.428055555555554,5.17,τ¹,τ¹-Ser,-,9-Ser
5730,137510,231.47083333333333,19.480833333333333,6.27,-,-,-,-
5731,137704,231.57083333333333,34.33583333333333,5.46,-,-,-,-
5732,137709,232.35,-46.73277777777778,5.24,-,-,-,-
5733,137744,232.06249999999997,-16.71638888888889,5.64,ζ¹,ζ¹-Lib,-,32-Lib
5734,137759,231.22916666666666,58.96611111111111,3.29,ι,ι-Dra,-,12-Dra
5735,137853,231.9083333333333,25.101666666666667,6.02,-,-,-,-
5736,137898,232.15833333333336,1.8422222222222224,5.17,-,-,-,10-Ser
5737,137909,231.95416666666665,29.105833333333333,3.68,β,β-CrB,-,3-CrB
5738,137928,231.63333333333335,54.019999999999996,6.45,-,-,-,-
5739,138105,232.65,-20.72833333333333,6.22,-,-,-,-
5740,138137,232.66666666666666,-16.609444444444446,5.82,ζ³,ζ³-Lib,-,34-Lib
5741,138204,233.01666666666668,-38.62305555555555,6.25,-,-,-,-
5742,138213,232.18333333333334,47.20138888888889,6.15,-,-,-,-
5743,138221,232.95833333333334,-32.88111111111111,6.46,-,-,-,-
5744,138245,231.91666666666666,62.275555555555556,6.5,-,-,-,-
5745,138265,231.96249999999998,60.67027777777778,5.9,-,-,-,-
5746,138268,232.92916666666665,-20.16472222222222,6.22,-,-,-,-
5747,138289,234.82500000000002,-77.91805555555555,6.18,-,-,-,-
5748,138290,232.72916666666666,8.579166666666666,6.57,-,-,-,-
5749,138338,232.23333333333335,55.19499999999999,6.43,-,-,-,-
5750,138341,232.59166666666664,31.28611111111111,6.46,-,-,-,-
5751,138383,232.61249999999998,36.80416666666667,6.37,-,-,-,-
5752,138413,233.15,-19.670555555555556,5.52,-,-,-,-
5753,138481,232.72916666666666,40.83305555555556,5.02,ν¹,ν¹-Boo,-,52-Boo
5754,138485,233.22916666666666,-16.852777777777778,5.5,ζ,ζ-Lib,-,35-Lib
5755,138488,233.28750000000002,-24.489444444444445,7.0,-,-,-,-
5756,138498,234.07083333333333,-65.61333333333333,6.51,-,-,-,-
5757,138505,233.50416666666666,-40.066111111111105,5.82,-,-,-,-
5758,138524,232.33749999999998,62.099722222222226,6.38,-,-,-,-
5759,138525,232.84166666666667,36.61638888888889,6.38,-,-,-,-
5760,138527,233.03749999999997,16.05611111111111,6.22,τ²,τ²-Ser,-,12-Ser
5761,138538,234.17916666666665,-66.31694444444445,4.11,ε,ε-TrA,-,-
5762,138562,233.2375,-1.186388888888889,5.51,-,-,-,11-Ser
5763,138564,233.58333333333334,-39.349444444444444,6.36,-,-,-,-
5764,138629,232.94583333333335,40.89944444444444,5.02,ν²,ν²-Boo,-,53-Boo
5765,138688,233.6541666666667,-28.046944444444446,5.15,-,-,-,36-Lib
5766,138690,233.78333333333336,-41.16694444444444,2.78,γ,γ-Lup,-,-
5767,138716,233.54166666666666,-10.064444444444446,4.62,-,-,-,37-Lib
5768,138749,233.22916666666666,31.359166666666667,4.14,θ,θ-CrB,-,4-CrB
5769,138763,233.58333333333334,-5.695,6.51,-,-,-,-
5770,138764,233.60833333333332,-9.183333333333334,5.17,-,-,-,-
5771,138769,233.97083333333336,-44.95861111111111,4.54,-,-,-,-
5772,138800,235.08749999999998,-73.44666666666667,5.65,κ²,κ²-Aps,-,-
5773,138803,233.4666666666667,17.137777777777778,6.45,-,-,-,-
5774,138816,234.05,-44.39694444444444,5.43,-,-,-,-
5775,138852,232.72916666666666,64.20861111111111,5.79,-,-,-,-
5776,138867,235.475,-76.08194444444445,5.95,-,-,-,-
5777,138905,233.8791666666667,-14.789444444444444,3.91,γ,γ-Lib,-,38-Lib
5778,138917,233.7,10.5375,3.8,δ,δ-Ser,-,13-Ser
5779,138918,233.7,10.539166666666667,3.8,δ,δ-Ser,-,13-Ser
